Probability,MapSize,IterationNo,ShortestPath,NodesVisited,MaxFringe,Time
0.1,5,1,8,23,48,0.0030074119567871094
0.1,5,2,8,19,25,0.0010325908660888672
0.1,5,3,8,24,50,0.0030050277709960938
0.1,5,4,8,17,18,0.0010027885437011719
0.1,5,5,8,24,60,0.0020127296447753906
0.1,6,1,10,28,150,0.007018566131591797
0.1,6,2,10,30,129,0.0060160160064697266
0.1,6,3,10,28,104,0.005013942718505859
0.1,6,4,10,30,86,0.0040111541748046875
0.1,6,5,10,27,27,0.001001596450805664
0.1,7,1,12,42,246,0.017029762268066406
0.1,7,2,12,41,369,0.022089481353759766
0.1,7,3,12,46,762,0.037097930908203125
0.1,7,4,12,39,56,0.002966642379760742
0.1,7,5,12,39,381,0.01905083656311035
0.1,8,1,14,60,1414,0.07820892333984375
0.1,8,2,14,55,415,0.03408956527709961
0.1,8,3,14,48,1142,0.05815434455871582
0.1,8,4,14,59,1138,0.058155059814453125
0.1,8,5,14,50,1090,0.06717896461486816
0.1,9,1,16,69,8323,0.4782724380493164
0.1,9,2,16,72,4937,0.3067784309387207
0.1,9,3,16,67,482,0.02907729148864746
0.1,9,4,16,65,677,0.05915689468383789
0.1,9,5,16,56,1221,0.07219195365905762
0.2,5,1,8,20,30,0.002005338668823242
0.2,5,2,8,19,16,0.0
0.2,5,3,-1,17,11,0.0
0.2,5,4,8,13,8,0.001003265380859375
0.2,5,5,8,17,22,0.0010023117065429688
0.2,6,1,10,32,102,0.005013942718505859
0.2,6,2,-1,26,43,0.002005338668823242
0.2,6,3,10,29,41,0.0030078887939453125
0.2,6,4,10,25,78,0.004010677337646484
0.2,6,5,10,20,11,0.0
0.2,7,1,12,33,87,0.005013465881347656
0.2,7,2,12,29,50,0.002005338668823242
0.2,7,3,-1,34,64,0.002004861831665039
0.2,7,4,12,36,153,0.0070188045501708984
0.2,7,5,-1,40,165,0.007018327713012695
0.2,8,1,14,47,160,0.0070171356201171875
0.2,8,2,-1,44,88,0.0040111541748046875
0.2,8,3,14,37,135,0.0060155391693115234
0.2,8,4,14,54,549,0.029077529907226562
0.2,8,5,14,45,711,0.03609609603881836
0.2,9,1,16,54,1131,0.05815434455871582
0.2,9,2,16,58,735,0.04913067817687988
0.2,9,3,16,47,148,0.011029481887817383
0.2,9,4,16,50,406,0.022059202194213867
0.2,9,5,16,63,803,0.0451197624206543
0.3,5,1,8,14,5,0.0010030269622802734
0.3,5,2,8,20,19,0.0010018348693847656
0.3,5,3,-1,1,0,0.0
0.3,5,4,8,22,32,0.0010030269622802734
0.3,5,5,8,12,7,0.0
0.3,6,1,10,19,20,0.0010418891906738281
0.3,6,2,12,23,16,0.0010001659393310547
0.3,6,3,10,22,13,0.0
0.3,6,4,10,27,21,0.0010051727294921875
0.3,6,5,-1,27,28,0.0010006427764892578
0.3,7,1,12,32,64,0.0030100345611572266
0.3,7,2,12,33,33,0.002004861831665039
0.3,7,3,12,26,18,0.0010094642639160156
0.3,7,4,-1,17,3,0.0010006427764892578
0.3,7,5,12,21,8,0.0
0.3,8,1,14,36,45,0.002001047134399414
0.3,8,2,-1,1,0,0.0
0.3,8,3,14,34,172,0.0060176849365234375
0.3,8,4,-1,1,0,0.0
0.3,8,5,-1,3,1,0.0
0.3,9,1,-1,28,12,0.0010051727294921875
0.3,9,2,16,42,87,0.006012678146362305
0.3,9,3,-1,11,6,0.0
0.3,9,4,-1,1,0,0.0
0.3,9,5,16,49,211,0.010027647018432617
0.4,5,1,-1,2,1,0.0
0.4,5,2,-1,2,1,0.0
0.4,5,3,-1,7,3,0.0
0.4,5,4,-1,2,1,0.0
0.4,5,5,-1,3,1,0.0
0.4,6,1,10,20,5,0.0010068416595458984
0.4,6,2,-1,1,0,0.0
0.4,6,3,-1,3,2,0.0
0.4,6,4,10,16,4,0.0
0.4,6,5,10,17,8,0.0010039806365966797
0.4,7,1,14,25,30,0.0019991397857666016
0.4,7,2,12,21,9,0.0
0.4,7,3,-1,30,19,0.0020101070404052734
0.4,7,4,-1,1,0,0.0
0.4,7,5,-1,8,4,0.0
0.4,8,1,-1,2,1,0.0
0.4,8,2,-1,1,0,0.0
0.4,8,3,-1,2,1,0.0
0.4,8,4,14,30,45,0.0020041465759277344
0.4,8,5,14,25,8,0.0
0.4,9,1,16,41,50,0.003011941909790039
0.4,9,2,16,25,11,0.0
0.4,9,3,-1,28,15,0.0009975433349609375
0.4,9,4,-1,12,10,0.001001596450805664
0.4,9,5,-1,2,1,0.0
0.5,5,1,-1,4,1,0.0
0.5,5,2,-1,5,1,0.0
0.5,5,3,-1,2,1,0.0
0.5,5,4,-1,16,3,0.0010097026824951172
0.5,5,5,8,10,4,0.0
0.5,6,1,-1,3,1,0.0
0.5,6,2,-1,4,1,0.0009610652923583984
0.5,6,3,-1,8,2,0.0
0.5,6,4,-1,4,1,0.0
0.5,6,5,-1,1,0,0.0
0.5,7,1,-1,13,3,0.0
0.5,7,2,-1,1,0,0.0
0.5,7,3,-1,15,9,0.0
0.5,7,4,-1,15,5,0.0
0.5,7,5,-1,1,0,0.0
0.5,8,1,-1,15,7,0.0
0.5,8,2,-1,9,2,0.0
0.5,8,3,-1,4,1,0.0
0.5,8,4,-1,6,1,0.0
0.5,8,5,-1,30,10,0.0010027885437011719
0.5,9,1,-1,3,1,0.0
0.5,9,2,-1,6,2,0.0
0.5,9,3,-1,7,3,0.0
0.5,9,4,-1,1,0,0.0
0.5,9,5,-1,9,4,0.0
0.6,5,1,-1,3,1,0.0
0.6,5,2,-1,2,1,0.0
0.6,5,3,-1,7,4,0.0
0.6,5,4,-1,1,0,0.0
0.6,5,5,-1,2,1,0.0
0.6,6,1,-1,8,2,0.0
0.6,6,2,-1,4,2,0.0
0.6,6,3,-1,2,1,0.0
0.6,6,4,-1,1,0,0.0
0.6,6,5,-1,4,2,0.0
0.6,7,1,-1,4,2,0.0
0.6,7,2,-1,13,2,0.0
0.6,7,3,-1,4,2,0.0
0.6,7,4,-1,1,0,0.0
0.6,7,5,-1,1,0,0.0
0.6,8,1,-1,1,0,0.0
0.6,8,2,-1,1,0,0.0
0.6,8,3,-1,1,0,0.0
0.6,8,4,-1,6,2,0.0
0.6,8,5,-1,14,4,0.0010027885437011719
0.6,9,1,-1,1,0,0.0
0.6,9,2,-1,1,0,0.0
0.6,9,3,-1,5,3,0.0
0.6,9,4,-1,6,3,0.0010025501251220703
0.6,9,5,-1,3,2,0.0
0.7,5,1,-1,1,0,0.0
0.7,5,2,-1,4,1,0.0
0.7,5,3,-1,5,2,0.0
0.7,5,4,-1,1,0,0.0
0.7,5,5,-1,3,1,0.0
0.7,6,1,-1,1,0,0.0
0.7,6,2,-1,2,1,0.0
0.7,6,3,-1,3,1,0.0
0.7,6,4,-1,1,0,0.0
0.7,6,5,-1,1,0,0.0
0.7,7,1,-1,2,1,0.0
0.7,7,2,-1,1,0,0.0
0.7,7,3,-1,1,0,0.0
0.7,7,4,-1,1,0,0.0
0.7,7,5,-1,4,1,0.0
0.7,8,1,-1,1,0,0.0
0.7,8,2,-1,7,2,0.0
0.7,8,3,-1,5,1,0.0
0.7,8,4,-1,1,0,0.0
0.7,8,5,-1,1,0,0.0
0.7,9,1,-1,3,1,0.0
0.7,9,2,-1,2,1,0.0
0.7,9,3,-1,5,2,0.0
0.7,9,4,-1,1,0,0.0
0.7,9,5,-1,4,1,0.0
0.8,5,1,-1,5,2,0.0
0.8,5,2,-1,1,0,0.0
0.8,5,3,-1,1,0,0.0
0.8,5,4,-1,1,0,0.0
0.8,5,5,-1,1,0,0.0
0.8,6,1,-1,2,1,0.0
0.8,6,2,-1,1,0,0.0
0.8,6,3,-1,2,1,0.0
0.8,6,4,-1,2,1,0.0
0.8,6,5,-1,1,0,0.0
0.8,7,1,-1,1,0,0.0
0.8,7,2,-1,1,0,0.0
0.8,7,3,-1,1,0,0.0
0.8,7,4,-1,1,0,0.0
0.8,7,5,-1,1,0,0.0
0.8,8,1,-1,2,1,0.0
0.8,8,2,-1,1,0,0.0
0.8,8,3,-1,3,1,0.0
0.8,8,4,-1,1,0,0.0
0.8,8,5,-1,1,0,0.0
0.8,9,1,-1,1,0,0.0
0.8,9,2,-1,1,0,0.0
0.8,9,3,-1,1,0,0.0
0.8,9,4,-1,6,1,0.0
0.8,9,5,-1,1,0,0.0
0.9,5,1,-1,1,0,0.0
0.9,5,2,-1,1,0,0.0
0.9,5,3,-1,2,1,0.0
0.9,5,4,-1,1,0,0.0
0.9,5,5,-1,1,0,0.0
0.9,6,1,-1,1,0,0.0
0.9,6,2,-1,1,0,0.0
0.9,6,3,-1,1,0,0.0
0.9,6,4,-1,1,0,0.0
0.9,6,5,-1,1,0,0.0
0.9,7,1,-1,1,0,0.0
0.9,7,2,-1,1,0,0.0
0.9,7,3,-1,1,0,0.0
0.9,7,4,-1,2,1,0.0
0.9,7,5,-1,1,0,0.0
0.9,8,1,-1,2,1,0.0
0.9,8,2,-1,1,0,0.0
0.9,8,3,-1,1,0,0.0
0.9,8,4,-1,1,0,0.0
0.9,8,5,-1,1,0,0.0
0.9,9,1,-1,1,0,0.0010025501251220703
0.9,9,2,-1,1,0,0.0
0.9,9,3,-1,1,0,0.0
0.9,9,4,-1,1,0,0.0
0.9,9,5,-1,2,1,0.0
